Senat;Entscheidungsdatum;Einspieldatum;Aktenzeichen;Link_Aktenzeichen;Zusatzinformationen;Unique_nr;Link_Zusatzinformationen
I. Zivilsenat;7.12.2023;17.1.2024;I ZB 27/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136067&pos=383&anz=1274&Blank=1.pdf;;136067;[]
I. Zivilsenat;7.12.2023;3.1.2024;I ZR 126/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135908&pos=384&anz=1274&Blank=1.pdf;"Glück
Leitsatzentscheidung";135908;[]
III. Zivilsenat;7.12.2023;22.2.2024;III ZA 14/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136543&pos=385&anz=1274&Blank=1.pdf;;136543;[]
III. Zivilsenat;7.12.2023;22.2.2024;III ZA 16/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136555&pos=386&anz=1274&Blank=1.pdf;;136555;[]
IX. Zivilsenat;7.12.2023;8.1.2024;IX ZR 36/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135954&pos=387&anz=1274&Blank=1.pdf;Leitsatzentscheidung;135954;[]
V. Zivilsenat;7.12.2023;31.1.2024;V ZB 61/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=136236&pos=388&anz=1274&Blank=1.pdf;;136236;[]
V. Zivilsenat;7.12.2023;8.1.2024;V ZB 66/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=12&nr=135957&pos=389&anz=1274&Blank=1.pdf;;135957;[]
V. Zivilsenat;7.12.2023;26.1.2024;V ZR 14/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=136192&pos=390&anz=1274&Blank=1.pdf;;136192;[]
VII. Zivilsenat;7.12.2023;15.1.2024;VII ZR 231/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=136050&pos=391&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136050;[]
X. Zivilsenat;7.12.2023;5.2.2024;X ZR 77/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=13&nr=136292&pos=392&anz=1274&Blank=1.pdf;;136292;[]
